<p>NO</p>,<p>名前</p>,<p>NAME</p>,<p>POS</p>,<p>状態</p>,<p>身長<br>(cm)</p>,<p>体重<br>(kg)</p>,<p>NFL<br>年数</p>,<p>出身</p>
02,ザック・ウィルソン,Zach Wilson,QB,ACT,187,97,03,BYU,
96,アル・ウッズ,Al Woods,DT,ACT,195,140,13,LSU,
09,グレッグ・ズーライン,Greg Zuerlein,K,ACT,182,84,12,Missouri Western,
07,ティム・ボイル,Tim Boyle,QB,DEV,193,106,05,Eastern Kentucky,
38,トレイ・ディーン・III,Trey Dean,SAF,DEV,187,90,01,Florida,
49,サム・Eguavoen,Sam Eguavoen,LB,DEV,185,107,05,Texas Tech,
90,Jalyn・ホームズ,Jalyn Holmes,DT,DEV,195,125,05,Ohio State,
31,クレイグ・ジェイムズ,Craig James,DB,DEV,177,88,03,Southern Illinois,
43,カリブ・ジョンソン,Caleb Johnson,LB,DEV,185,106,01,Miami,
00,Tyreque・ジョーンズ,Tyreque Jones,DB,DEV,187,93,01,Boise State,
81,ザック・Kuntz,Zack Kuntz,TE,DEV,203,113,01,Old Dominion,
00,Marcelino・McCrary-Ball,Marcelino McCrary-Ball,DB,DEV,182,97,01,Indiana,
62,アダム・パンキー,Adam Pankey,G,DEV,195,139,04,West Virginia,
00,ジェイソン・ポー,Jason Poe,G,DEV,185,136,01,Mercer University, Atlanta,
40,ニーアマイア・シェルトン,Nehemiah Shelton,CB,DEV,187,83,01,San Jose State,
79,タンゼル・スマート,Tanzel Smart,DT,DEV,185,133,04,Tulane,
51,マーキス・スペンサー,Marquiss Spencer,DE,DEV,193,136,01,Mississippi State,
00,ライアン・Swoboda,Ryan Swoboda,OT,DEV,208,147,01,UCF,
00,Xazavian・Valladay,Xazavian Valladay,RB,DEV,182,90,01,Arizona State,
29,Jarrick・Bernard-Converse,Jarrick Bernard-Converse,SAF,PUP,185,93,01,LSU,
50,ブラッドリー・アネイ,Bradlee Anae,DE,RES,190,118,03,Utah,
23,チャック・クラーク,Chuck Clark,DB,RES,182,94,07,Virginia Tech,
40,ジャベリン・ギャドリ,Javelin Guidry,CB,RES,175,86,03,Utah,
46,マリク・ホール,Maalik Hall,LB,RES,187,106,01,Southeastern Oklahoma State,
45,ハムサ・ナイズルーディン,Hamsah Nasirildeen,LB,RES,190,97,03,Florida State,
92,Ifeadi・Odenigbo,Ifeadi Odenigbo,DE,RES,190,117,06,Northwestern,
67,カーター・ウォーレン,Carter Warren,OT,RES,195,141,01,Pittsburgh,
88,ケニー・イエボア,Kenny Yeboah,TE,RES,193,113,03,Mississippi,
26,ブランディン・エコールズ,Brandin Echols,CB,SUS,177,81,03,Kentucky,
