<p>NO</p>,<p>名前</p>,<p>NAME</p>,<p>POS</p>,<p>身長<br>(cm)</p>,<p>体重<br>(kg)</p>,<p>誕生日</p>,<p>NFL<br>年数</p>
81,タイラー・クロフト,Tyler Kroft,TE,198,114,Rutgers,
63,リオ・コロメタンジー,Leo Koloamatangi,C,195,138,Hawaii,
29,ラマーカス・ジョイナー,Lamarcus Joyner,FS,172,83,Florida State,
25,タイ・ジョンソン,Ty Johnson,RB,177,95,Maryland,
08,ジョシュ・ジョンソン,Josh Johnson,QB,190,99,San Diego,
38,ラマー・ジャクソン,Lamar Jackson,CB,187,94,Nebraska,
39,ベネット・ジャクソン,Bennett Jackson,DB,182,87,Notre Dame,
47,ブライス・ハフ,Bryce Huff,DE,190,115,Memphis,
64,トリステン・ホーグ,Tristen Hoge,OG,193,138,Brigham Young,
89,クリス・ハーンドン,Chris Herndon,TE,193,114,Miami (Fla.),
78,グラント・ハーマンス,Grant Hermanns,OT,200,136,Purdue,
42,トーマス・ヘネシー,Thomas Hennessy,LS,187,111,Duke,
49,J.T.・ハセル,J.T. Hassell,DB,180,90,Florida Tech,
34,ジャスティン・ハーデー,Justin Hardee,DB,185,90,Illinois,
37,ブライス・ホール,Bryce Hall,CB,185,91,Virginia,
40,ジャベリン・ギャドリ,Javelin Guidry,CB,175,86,Utah,
86,ライアン・グリフィン,Ryan Griffin,TE,198,115,Connecticut,
91,ジョン・フランクリンマイヤーズ,John Franklin'Myers,DE,193,130,Stephen F. Austin St.,
54,シャリフ・フィンチ,Sharif Finch,LB,193,113,Temple,
67,ダン・フィーニー,Dan Feeney,OG,193,140,Indiana,
94,フォーリー・ファツカシ,Foley Fatukasi,DT,193,144,Connecticut,
76,ジョージ・ファント,George Fant,OT,195,146,Western Kentucky,
46,ミロ・アイフルー,Milo Eifler,LB,185,103,Illinois,
70,チュマ・エドガ,Chuma Edoga,OT,190,139,USC,
25,ブランディン・エコルス,Brandin Echols,CB,177,79,Kentucky,
50,マイケル・ドゥアンフォー,Michael Dwumfour,DT,185,134,Rutgers,
36,アイゼイア・ダン,Isaiah Dunn,CB,182,87,Oregon State,
56,ノア・ドーキンス,Noah Dawkins,LB,185,106,The Citadel,
52,ジャレッド・デービス,Jarrad Davis,MLB,185,111,Florida,
84,コーリー・デービス,Corey Davis,WR,190,94,Western Michigan,
21,アシュティン・デービス,Ashtyn Davis,SAF,185,91,California,
99,ヴィニー・カリー,Vinny Curry,DE,190,126,Marshall,
82,ジャミソン・クロウダー,Jamison Crowder,WR,175,80,Duke,
23,テビン・コウルマン,Tevin Coleman,RB,185,95,Indiana,
88,キーリン・コウル,Keelan Cole,WR,185,88,Kentucky Wesleyan,
72,キャメロン・クラーク,Cameron Clarke,OT,193,139,Charlotte,
53,ブレイク・キャッシュマン,Blake Cashman,LB,185,107,Minnesota,
30,マイケル・カーター・II,Michael Carter,CB,177,83,Duke,
32,マイケル・カーター,Michael Carter,RB,172,91,North Carolina,
26,イライジャ・キャンベル,Elijah Campbell,DB,180,86,Northern Iowa,
15,ローレンス・ケージャー,Lawrence Cager,WR,195,99,Georgia,
87,ダニエル・ブラウン,Daniel Brown,TE,195,112,James Madison,
54,ロナルド・ブレア,Ronald Blair,DE,190,122,Appalachian State,
10,ブラクストン・ベリオス,Braxton Berrios,WR,175,86,Miami (Fla.),
77,メカイ・ベクトン,Mekhi Becton,OT,200,164,Louisville,
27,コーリー・バレンティニィ,Corey Ballentine,DB,182,86,Washburn,
03,マナーッセ・ベイリー,Manasseh Bailey,WR,185,88,Morgan State,
31,ブレシュワン・オースティン,Blessuan Austin,DB,185,89,Rutgers,
00,マット・アメンドーラ,Matt Ammendola,K,175,88,Oklahoma State,
36,ジョシュ・アダムズ,Josh Adams,RB,187,102,Notre Dame,
00,サクアン・ハンプトン,Saquan Hampton,SAF,185,93,Rutgers,
66,ティトン・ソルツ,Teton Saltes,OG,193,136,New Mexico,
00,パーカー・ファーガソン,Parker Ferguson,G,195,131,Air Force,
